更新时间: 2026-04-26 04:24:24（北京时间）

更新时间,#genre#
2026-04-26 04:24:24,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

📺央视频道,#genre#
CCTV16,http://58.62.234.243:10000/rtp/239.77.0.165:5146$广东电信
CCTV16,http://223.10.214.111:6000/rtp/239.1.1.122:8122$山西电信
CCTV17,http://183.220.107.138:4022/rtp/239.11.0.107:5140$四川移动
CCTV17,http://121.230.144.64:8000/rtp/239.49.8.52:9810$江苏电信
CCTV17,http://192.144.185.155:6000/rtp/225.1.8.17:8144$北京市电信
CCTV17,http://58.62.234.243:10000/rtp/239.77.0.198:5146$广东电信
CCTV17,http://223.10.214.111:6000/rtp/239.1.1.23:8023$山西电信
CCTV17,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV4K,http://121.230.144.64:8000/rtp/239.49.0.82:8000$江苏电信
CCTV4K,http://58.62.234.243:10000/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://58.62.234.243:10000/rtp/239.77.1.180:5146$广东电信
兵器科技,http://58.62.234.243:10000/rtp/239.253.43.18:5146$广东电信
兵器科技,http://223.10.214.111:6000/rtp/239.1.1.97:8097$山西电信
风云音乐,http://58.62.234.243:10000/rtp/239.253.43.29:5146$广东电信
风云音乐,http://223.10.214.111:6000/rtp/239.1.1.96:8096$山西电信
风云足球,http://58.62.234.243:10000/rtp/239.253.43.14:5146$广东电信
风云足球,http://223.10.214.111:6000/rtp/239.1.1.101:8101$山西电信
风云剧场,http://183.220.107.138:4022/rtp/239.10.0.203:5140$四川移动
风云剧场,http://58.62.234.243:10000/rtp/239.253.43.26:5146$广东电信
风云剧场,http://223.10.214.111:6000/rtp/239.1.1.93:8093$山西电信
怀旧剧场,http://58.62.234.243:10000/rtp/239.253.43.5:5146$广东电信
怀旧剧场,http://223.10.214.111:6000/rtp/239.1.1.95:8095$山西电信
第一剧场,http://58.62.234.243:10000/rtp/239.253.43.15:5146$广东电信
第一剧场,http://223.10.214.111:6000/rtp/239.1.1.94:8094$山西电信
女性时尚,http://58.62.234.243:10000/rtp/239.253.43.8:5146$广东电信
女性时尚,http://223.10.214.111:6000/rtp/239.1.1.89:8089$山西电信
世界地理,http://58.62.234.243:10000/rtp/239.253.43.7:5146$广东电信
世界地理,http://223.10.214.111:6000/rtp/239.1.1.99:8099$山西电信
央视台球,http://58.62.234.243:10000/rtp/239.253.43.11:5146$广东电信
央视台球,http://223.10.214.111:6000/rtp/239.1.1.100:8100$山西电信
高尔夫网球,http://183.220.107.138:4022/rtp/239.10.0.224:5140$四川移动
高尔夫网球,http://58.62.234.243:10000/rtp/239.253.43.22:5146$广东电信
高尔夫网球,http://223.10.214.111:6000/rtp/239.1.1.102:8102$山西电信
央视文化精品,http://58.62.234.243:10000/rtp/239.253.43.27:5146$广东电信
央视文化精品,http://223.10.214.111:6000/rtp/239.1.1.91:8091$山西电信
卫生健康,http://58.62.234.243:10000/rtp/239.77.0.212:5146$广东电信
电视指南,http://58.62.234.243:10000/rtp/239.253.43.19:5146$广东电信
电视指南,http://223.10.214.111:6000/rtp/239.1.1.90:8090$山西电信
中学生,http://58.62.234.243:10000/rtp/239.77.1.195:5146$广东电信
中学生,http://223.10.214.111:6000/rtp/239.1.1.104:8104$山西电信
发现之旅,http://58.62.234.243:10000/rtp/239.77.1.112:5146$广东电信
发现之旅,http://223.10.214.111:6000/rtp/239.1.1.103:8103$山西电信
书法频道,http://58.62.234.243:10000/rtp/239.77.1.115:5146$广东电信
国学频道,http://58.62.234.243:10000/rtp/239.77.0.226:5146$广东电信
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信
环球奇观,http://58.62.234.243:10000/rtp/239.77.1.198:5146$广东电信
环球奇观,http://223.10.214.111:6000/rtp/239.1.1.98:8098$山西电信

📺卫视频道,#genre#
湖南卫视,http://183.220.107.138:4022/rtp/239.11.0.119:5140$四川移动
湖南卫视,http://121.230.144.64:8000/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://192.144.185.155:6000/rtp/225.1.8.41:8012$北京市电信
湖南卫视,http://58.62.234.243:10000/rtp/239.77.1.5:5146$广东电信
湖南卫视,http://58.62.234.243:10000/rtp/239.77.0.56:5146$广东电信
湖南卫视,http://223.10.214.111:6000/rtp/239.1.1.28:8028$山西电信
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
浙江卫视,http://183.220.107.138:4022/rtp/239.11.0.70:5140$四川移动
